Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit
ORD-1039,29-09-2024,03-10-2024,CUST-96,PROD-26,37327,6,0.09,2239.62
ORD-1040,21-12-2024,25-12-2024,CUST-1,PROD-16,20865,3,0.12,625.95
ORD-1041,25-07-2023,27-07-2023,CUST-82,PROD-32,9804,1,0.16,-98.04
ORD-1042,25-12-2022,28-12-2022,CUST-46,PROD-13,10361,9,0.08,725.27
ORD-1043,11-04-2022,14-04-2022,CUST-186,PROD-39,15970,4,0.21,958.2
ORD-1044,09-07-2023,14-07-2023,CUST-131,PROD-17,47348,4,0.24,4261.32
ORD-1045,06-05-2024,11-05-2024,CUST-52,PROD-38,3098,3,0.29,433.72
ORD-1046,16-08-2023,19-08-2023,CUST-175,PROD-3,46054,5,0.01,6447.56
ORD-1047,15-04-2022,18-04-2022,CUST-126,PROD-45,36211,5,0.28,4707.43
ORD-1048,19-12-2022,23-12-2022,CUST-95,PROD-28,26680,10,0.04,2934.8
ORD-1049,08-10-2024,12-10-2024,CUST-49,PROD-9,13202,7,0.01,1848.28
ORD-1050,28-05-2022,31-05-2022,CUST-188,PROD-49,23170,4,0.21,1390.2
ORD-1051,25-10-2023,30-10-2023,CUST-98,PROD-10,40435,2,0,6065.25
ORD-1052,14-05-2022,17-05-2022,CUST-156,PROD-6,16085,5,0.29,2251.9
ORD-1053,18-07-2023,23-07-2023,CUST-127,PROD-13,40387,6,0.15,0
ORD-1054,14-01-2024,19-01-2024,CUST-187,PROD-29,19993,4,0.01,2799.02
ORD-1055,05-03-2022,07-03-2022,CUST-108,PROD-42,6239,5,0.01,873.46
ORD-1056,30-12-2024,02-01-2025,CUST-17,PROD-31,8765,2,0.07,-701.2
ORD-1057,25-02-2024,28-02-2024,CUST-20,PROD-22,27271,5,0.07,2181.68
ORD-1058,17-03-2023,22-03-2023,CUST-135,PROD-35,37778,3,0.12,1133.34
ORD-1059,31-10-2022,02-11-2022,CUST-200,PROD-32,46417,7,0.15,0
ORD-1060,16-01-2022,19-01-2022,CUST-192,PROD-31,24584,8,0.24,2212.56
ORD-1061,30-12-2023,02-01-2024,CUST-127,PROD-16,27155,5,0.08,1900.85
ORD-1062,27-01-2022,30-01-2022,CUST-73,PROD-36,41643,6,0.01,5830.02
ORD-1063,08-12-2023,10-12-2023,CUST-78,PROD-20,17513,1,0.28,2276.69
ORD-1064,16-07-2022,20-07-2022,CUST-26,PROD-41,1476,9,0.11,-59.04
ORD-1065,14-09-2024,18-09-2024,CUST-66,PROD-45,44791,3,0.12,1343.73
ORD-1066,23-02-2024,26-02-2024,CUST-132,PROD-4,22264,2,0.21,1335.84
ORD-1067,11-11-2023,14-11-2023,CUST-64,PROD-2,14087,4,0.22,986.09
ORD-1068,27-08-2022,31-08-2022,CUST-95,PROD-26,3618,4,0.11,-123
ORD-1069,01-12-2022,03-12-2022,CUST-17,PROD-32,49589,2,0.03,5950.68
ORD-1070,23-07-2022,27-07-2022,CUST-93,PROD-39,37438,10,0.05,3743.8
ORD-1071,01-12-2024,03-12-2024,CUST-105,PROD-49,36382,5,0.17,727.64
ORD-1072,08-11-2024,11-11-2024,CUST-81,PROD-9,36614,3,0.23,2929.12
ORD-1073,25-02-2023,01-03-2023,CUST-109,PROD-10,49855,3,0.21,2991.3
ORD-1074,31-03-2024,03-04-2024,CUST-48,PROD-32,6052,3,0.23,484.16
ORD-1075,17-03-2022,21-03-2022,CUST-41,PROD-40,20573,10,0.1,1028.65
ORD-1076,31-12-2024,03-01-2025,CUST-39,PROD-23,5062,5,0.22,354.34
ORD-1077,13-12-2024,17-12-2024,CUST-106,PROD-23,1847,8,0.26,203.17
ORD-1078,29-04-2024,01-05-2024,CUST-45,PROD-5,47684,1,0.23,3814.72
ORD-1079,29-01-2024,03-02-2024,CUST-71,PROD-44,49886,9,0.01,6984.04
ORD-1080,01-10-2024,03-10-2024,CUST-97,PROD-10,21106,10,0.13,422.12
ORD-1081,06-12-2022,11-12-2022,CUST-105,PROD-27,39113,8,0.15,0
ORD-1082,03-01-2024,08-01-2024,CUST-13,PROD-26,47736,8,0.07,3818.88
ORD-1083,08-12-2023,11-12-2023,CUST-61,PROD-32,19341,10,0.05,1934.1
ORD-1084,28-01-2022,01-02-2022,CUST-45,PROD-37,8699,10,0.29,1217.86
ORD-1085,18-08-2023,22-08-2023,CUST-194,PROD-40,42830,4,0.29,5996.2
ORD-1086,17-03-2022,19-03-2022,CUST-174,PROD-46,13648,8,0.25,1364.8
ORD-1087,21-02-2023,26-02-2023,CUST-91,PROD-7,34710,10,0.27,4165.2
ORD-1088,10-09-2023,12-09-2023,CUST-41,PROD-47,8552,9,0.19,342.08
ORD-1089,23-03-2023,25-03-2023,CUST-96,PROD-37,878,5,0.17,17.56
ORD-1090,19-10-2024,23-10-2024,CUST-181,PROD-26,30652,4,0.05,3065.2
ORD-1091,05-11-2022,07-11-2022,CUST-167,PROD-7,49218,10,0.12,1476.54
ORD-1092,07-11-2022,11-11-2022,CUST-41,PROD-50,37496,5,0.29,5249.44
ORD-1093,26-07-2022,30-07-2022,CUST-199,PROD-21,41319,3,0.13,826.38
ORD-1094,16-07-2024,19-07-2024,CUST-10,PROD-24,39645,4,0.1,1982.25
ORD-1095,12-08-2023,15-08-2023,CUST-69,PROD-15,26447,1,0.02,3438.11
ORD-1096,16-08-2023,20-08-2023,CUST-72,PROD-7,35459,2,0.28,4609.67
ORD-1097,14-03-2023,17-03-2023,CUST-192,PROD-38,11654,5,0.09,699.24
ORD-1098,21-02-2022,26-02-2022,CUST-141,PROD-48,21723,6,0.21,1303.38
ORD-1099,05-04-2022,07-04-2022,CUST-91,PROD-48,19339,4,0.1,966.95
ORD-1100,09-10-2023,11-10-2023,CUST-84,PROD-2,12530,10,0.15,0
ORD-1101,22-03-2023,24-03-2023,CUST-119,PROD-26,48071,5,0.15,0
ORD-1102,22-01-2023,27-01-2023,CUST-100,PROD-20,5729,9,0.17,-114.58
ORD-1103,07-09-2022,09-09-2022,CUST-102,PROD-14,28409,9,0.27,3409.08
ORD-1104,14-12-2022,18-12-2022,CUST-47,PROD-32,29752,7,0.14,297.52
ORD-1105,27-01-2022,29-01-2022,CUST-31,PROD-45,38235,3,0.23,3058.8
ORD-1106,07-12-2024,11-12-2024,CUST-163,PROD-35,18498,1,0.28,2404.74
ORD-1107,20-05-2023,22-05-2023,CUST-93,PROD-24,32498,2,0.29,4549.72
ORD-1108,18-11-2023,20-11-2023,CUST-31,PROD-41,12521,3,0.07,1001.68
ORD-1109,06-07-2023,08-07-2023,CUST-161,PROD-3,20689,8,0.03,2482.68
ORD-1110,17-07-2022,21-07-2022,CUST-147,PROD-19,21571,10,0.27,2588.52
ORD-1111,13-06-2024,17-06-2024,CUST-160,PROD-7,17558,6,0.13,-351.16
ORD-1112,13-01-2023,17-01-2023,CUST-133,PROD-9,17434,7,0.21,1046.04
ORD-1113,16-12-2024,21-12-2024,CUST-117,PROD-44,8430,8,0.3,1264.5
ORD-1114,27-08-2022,31-08-2022,CUST-190,PROD-25,18517,8,0.01,2592.38
ORD-1115,04-09-2024,08-09-2024,CUST-121,PROD-29,9018,2,0.3,1352.7
ORD-1116,03-07-2024,06-07-2024,CUST-80,PROD-37,15153,9,0.04,1666.83
ORD-1117,23-11-2024,26-11-2024,CUST-116,PROD-14,46650,2,0.11,1866
ORD-1118,02-03-2022,04-03-2022,CUST-127,PROD-2,9121,4,0.25,912.1
ORD-1119,03-07-2024,07-07-2024,CUST-145,PROD-2,12639,7,0.05,1263.9
ORD-1120,14-08-2023,18-08-2023,CUST-149,PROD-3,18060,7,0.21,1083.6
ORD-1121,07-03-2023,09-03-2023,CUST-89,PROD-48,6931,1,0.22,485.17
ORD-1122,23-09-2022,27-09-2022,CUST-126,PROD-21,35434,5,0.21,2126.04
ORD-1123,23-08-2024,25-08-2024,CUST-188,PROD-49,11692,3,0.29,1636.88
ORD-1124,30-03-2024,01-04-2024,CUST-184,PROD-10,29575,3,0.18,887.25
ORD-1125,26-05-2024,28-05-2024,CUST-82,PROD-22,15259,5,0,2288.85
ORD-1126,30-07-2023,01-08-2023,CUST-179,PROD-46,29912,5,0.27,3589.44
ORD-1127,06-02-2024,09-02-2024,CUST-128,PROD-1,6175,1,0.15,0
ORD-1128,10-01-2023,15-01-2023,CUST-130,PROD-9,45776,2,0.04,5035.36
ORD-1129,05-11-2024,08-11-2024,CUST-44,PROD-32,40750,2,0.03,4890
ORD-1130,05-07-2023,10-07-2023,CUST-147,PROD-43,23050,2,0.2,1152.5
ORD-1131,27-11-2022,02-12-2022,CUST-26,PROD-36,26778,4,0.22,1874.46
ORD-1132,21-09-2023,25-09-2023,CUST-126,PROD-29,31116,10,0.12,933.48
ORD-1133,28-12-2022,31-12-2022,CUST-57,PROD-33,26011,1,0.23,2080.88
ORD-1134,09-08-2024,13-08-2024,CUST-24,PROD-4,40834,8,0.25,4083.4
ORD-1135,05-11-2024,07-11-2024,CUST-186,PROD-10,33030,8,0.22,2312.1
ORD-1136,03-12-2023,07-12-2023,CUST-125,PROD-41,5423,3,0.11,216.92
ORD-1137,13-03-2022,15-03-2022,CUST-112,PROD-38,31443,7,0.17,628.86
ORD-1138,22-10-2024,24-10-2024,CUST-148,PROD-34,15535,3,0.04,1708.85
ORD-1139,11-09-2023,14-09-2023,CUST-72,PROD-47,10929,2,0.03,1311.48
ORD-1140,15-08-2024,17-08-2024,CUST-82,PROD-9,37115,2,0.07,2969.2
ORD-1141,06-10-2022,10-10-2022,CUST-38,PROD-43,21944,3,0.11,877.76
ORD-1142,07-05-2022,11-05-2022,CUST-108,PROD-18,24692,5,0.17,493.84
ORD-1143,27-05-2024,30-05-2024,CUST-24,PROD-26,28654,3,0.14,286.54
ORD-1144,23-01-2023,25-01-2023,CUST-74,PROD-23,34807,6,0.12,1044.21
ORD-1145,13-09-2022,18-09-2022,CUST-122,PROD-42,36433,7,0.24,3278.97
ORD-1146,20-06-2023,23-06-2023,CUST-6,PROD-25,20259,5,0.17,-405.18
ORD-1147,20-04-2024,24-04-2024,CUST-104,PROD-8,38411,1,0.09,2304.66
ORD-1148,13-04-2024,17-04-2024,CUST-164,PROD-29,31643,9,0.12,949.29
ORD-1149,01-10-2022,06-10-2022,CUST-19,PROD-25,46190,7,0.12,1385.7
ORD-1150,10-06-2022,12-06-2022,CUST-6,PROD-44,17256,5,0.21,1035.36
ORD-1151,25-11-2024,30-11-2024,CUST-6,PROD-34,20512,9,0.12,615.36
ORD-1152,19-04-2022,24-04-2022,CUST-156,PROD-26,16710,7,0.07,1336.8
ORD-1153,15-03-2022,19-03-2022,CUST-25,PROD-7,10695,1,0.03,1283.4
ORD-1154,07-06-2024,10-06-2024,CUST-162,PROD-21,6200,4,0.23,-496
ORD-1155,15-03-2024,17-03-2024,CUST-160,PROD-27,37120,7,0.03,4454.4
ORD-1156,05-05-2024,07-05-2024,CUST-5,PROD-7,16346,7,0.25,1634.6
ORD-1157,13-07-2024,18-07-2024,CUST-138,PROD-19,34614,5,0.3,5192.1
ORD-1158,05-02-2023,07-02-2023,CUST-11,PROD-33,45196,5,0.29,6327.44
ORD-1159,21-09-2022,25-09-2022,CUST-107,PROD-25,9680,3,0.21,580.8
ORD-1160,26-07-2024,29-07-2024,CUST-184,PROD-30,6959,7,0.15,0
ORD-1161,19-12-2022,21-12-2022,CUST-40,PROD-12,42550,8,0.26,4680.5
ORD-1162,21-11-2024,24-11-2024,CUST-180,PROD-44,36950,10,0,5542.5
ORD-1163,15-04-2023,19-04-2023,CUST-148,PROD-20,19664,1,0.23,1573.12
ORD-1164,12-12-2024,15-12-2024,CUST-143,PROD-43,11903,9,0.09,714.18
ORD-1165,16-11-2024,18-11-2024,CUST-190,PROD-46,40026,5,0.05,4002.6
ORD-1166,06-08-2022,11-08-2022,CUST-46,PROD-48,20247,5,0.02,2632.11
ORD-1167,17-02-2024,22-02-2024,CUST-48,PROD-3,47022,8,0.04,5172.42
ORD-1168,30-12-2024,03-01-2025,CUST-56,PROD-11,6672,4,0.15,0
ORD-1169,08-01-2022,11-01-2022,CUST-48,PROD-35,42690,3,0.04,4695.9
ORD-1170,22-06-2024,27-06-2024,CUST-114,PROD-39,49605,9,0.01,6944.7
ORD-1171,04-05-2023,09-05-2023,CUST-22,PROD-15,9858,5,0.08,690.06
ORD-1172,08-02-2023,10-02-2023,CUST-20,PROD-46,36712,3,0.06,3304.08
ORD-1173,09-12-2024,13-12-2024,CUST-48,PROD-40,12795,5,0.08,895.65
ORD-1174,10-04-2023,14-04-2023,CUST-87,PROD-38,3635,7,0.13,-72.7
ORD-1175,11-04-2024,16-04-2024,CUST-84,PROD-45,49301,6,0.03,5916.12
ORD-1176,05-05-2022,09-05-2022,CUST-74,PROD-4,30965,1,0.25,3096.5
ORD-1177,26-12-2024,29-12-2024,CUST-105,PROD-36,25438,1,0.18,763.14
ORD-1178,06-05-2023,11-05-2023,CUST-90,PROD-41,47198,5,0.21,2831.88
ORD-1179,14-05-2023,18-05-2023,CUST-159,PROD-48,44507,4,0.28,5785.91
ORD-1180,08-11-2023,11-11-2023,CUST-60,PROD-16,45399,9,0.26,4993.89
ORD-1181,05-01-2023,07-01-2023,CUST-96,PROD-5,46135,2,0.15,0
ORD-1182,19-03-2022,24-03-2022,CUST-46,PROD-45,9609,1,0.19,384.36
ORD-1183,17-06-2024,22-06-2024,CUST-80,PROD-27,48350,4,0.16,483.5
ORD-1184,22-06-2024,27-06-2024,CUST-120,PROD-33,16158,10,0.1,807.9
ORD-1185,28-02-2023,05-03-2023,CUST-33,PROD-41,29211,3,0.04,3213.21
ORD-1186,12-04-2023,14-04-2023,CUST-78,PROD-31,23483,7,0.29,3287.62
ORD-1187,27-04-2022,30-04-2022,CUST-40,PROD-15,48707,9,0.14,487.07
ORD-1188,04-06-2024,07-06-2024,CUST-172,PROD-38,33423,10,0.25,3342.3
ORD-1189,31-05-2023,03-06-2023,CUST-148,PROD-17,6838,10,0.08,478.66
ORD-1190,17-02-2023,19-02-2023,CUST-138,PROD-42,4648,1,0.1,-232.4
ORD-1191,09-08-2022,12-08-2022,CUST-3,PROD-46,33984,1,0.16,339.84
ORD-1192,29-01-2022,01-02-2022,CUST-175,PROD-28,29888,2,0.2,1494.4
ORD-1193,05-12-2024,10-12-2024,CUST-41,PROD-25,42171,1,0.15,0
ORD-1194,26-09-2022,30-09-2022,CUST-118,PROD-7,5508,10,0.19,220.32
ORD-1195,23-12-2024,25-12-2024,CUST-4,PROD-7,48710,1,0.1,2435.5
ORD-1196,24-10-2023,28-10-2023,CUST-5,PROD-45,43625,7,0.09,2617.5
ORD-1197,05-03-2024,07-03-2024,CUST-199,PROD-26,33186,10,0.08,2323.02
ORD-1198,22-03-2023,27-03-2023,CUST-101,PROD-48,49373,10,0.11,1974.92
ORD-1199,04-09-2024,09-09-2024,CUST-47,PROD-14,12251,3,0.08,857.57
ORD-1200,30-08-2022,04-09-2022,CUST-188,PROD-13,40000,6,0.03,4800
ORD-1201,29-01-2023,01-02-2023,CUST-36,PROD-9,23916,9,0.13,478.32
ORD-1202,15-08-2023,18-08-2023,CUST-114,PROD-40,28077,4,0.11,1123.08
ORD-1203,01-03-2023,04-03-2023,CUST-106,PROD-44,21371,8,0.02,2778.23
ORD-1204,02-09-2024,07-09-2024,CUST-164,PROD-42,35876,6,0.07,2870.08
ORD-1205,13-12-2024,17-12-2024,CUST-111,PROD-19,40501,5,0.09,2430.06
ORD-1206,15-11-2024,20-11-2024,CUST-163,PROD-23,20576,7,0.08,1440.32
ORD-1207,30-09-2024,02-10-2024,CUST-52,PROD-43,5779,3,0,866.85
ORD-1208,27-11-2023,30-11-2023,CUST-72,PROD-17,41174,10,0.19,1646.96
ORD-1209,07-04-2023,10-04-2023,CUST-161,PROD-32,28470,2,0.25,2847
ORD-1210,19-07-2022,24-07-2022,CUST-196,PROD-44,6574,3,0.15,0
ORD-1211,07-09-2023,11-09-2023,CUST-160,PROD-10,49049,9,0.11,1961.96
ORD-1212,26-03-2022,30-03-2022,CUST-22,PROD-26,24974,10,0.24,2247.66
ORD-1213,22-02-2023,24-02-2023,CUST-49,PROD-37,3652,5,0.05,-365.2
ORD-1214,29-01-2024,01-02-2024,CUST-134,PROD-10,49349,9,0.09,2960.94
ORD-1215,16-07-2022,21-07-2022,CUST-41,PROD-18,44264,3,0.06,3983.76
ORD-1216,10-09-2023,14-09-2023,CUST-98,PROD-19,47402,8,0.17,948.04
ORD-1217,15-03-2024,18-03-2024,CUST-125,PROD-12,37580,8,0.16,-375.8
ORD-1218,23-03-2024,25-03-2024,CUST-41,PROD-37,37385,6,0.26,4112.35
ORD-1219,18-07-2022,21-07-2022,CUST-90,PROD-12,19377,3,0.16,193.77
ORD-1220,17-06-2024,19-06-2024,CUST-48,PROD-41,33913,10,0.13,678.26
ORD-1221,20-10-2023,23-10-2023,CUST-42,PROD-28,3779,8,0.08,264.53
ORD-1222,30-09-2023,02-10-2023,CUST-66,PROD-2,44469,7,0.15,0
ORD-1223,24-06-2023,29-06-2023,CUST-178,PROD-30,3939,4,0,590.85
ORD-1224,25-12-2022,29-12-2022,CUST-88,PROD-4,20406,6,0.08,1428.42
ORD-1225,15-02-2023,17-02-2023,CUST-3,PROD-40,2194,7,0.16,-21.94
ORD-1226,28-10-2023,02-11-2023,CUST-12,PROD-6,41090,3,0.26,4519.9
ORD-1227,23-06-2023,28-06-2023,CUST-105,PROD-50,5719,5,0.1,285.95
ORD-1228,15-01-2023,19-01-2023,CUST-27,PROD-29,13386,10,0.09,803.16
ORD-1229,07-10-2024,11-10-2024,CUST-76,PROD-7,26557,7,0.25,2655.7
ORD-1230,28-09-2022,02-10-2022,CUST-200,PROD-45,23943,5,0.03,2873.16
ORD-1231,21-01-2023,24-01-2023,CUST-141,PROD-8,41119,6,0.08,2878.33
ORD-1232,11-09-2023,15-09-2023,CUST-67,PROD-2,5327,6,0.23,426.16
ORD-1233,20-08-2022,25-08-2022,CUST-79,PROD-12,35832,2,0.25,3583.2
ORD-1234,13-08-2022,18-08-2022,CUST-188,PROD-36,26820,5,0.17,536.4
ORD-1235,20-05-2024,22-05-2024,CUST-134,PROD-12,30949,8,0.25,3094.9
ORD-1236,06-11-2022,11-11-2022,CUST-101,PROD-5,23308,2,0.28,3030.04
ORD-1237,31-03-2024,03-04-2024,CUST-39,PROD-35,40607,1,0.02,5278.91
ORD-1238,01-05-2022,03-05-2022,CUST-148,PROD-18,30006,8,0.21,1800.36
ORD-1239,09-07-2024,13-07-2024,CUST-54,PROD-21,14776,6,0.26,1625.36
ORD-1240,15-02-2022,17-02-2022,CUST-144,PROD-42,7091,2,0.25,-709.1
ORD-1241,03-08-2022,08-08-2022,CUST-105,PROD-37,24863,5,0.28,3232.19
ORD-1242,30-03-2023,04-04-2023,CUST-3,PROD-29,33105,10,0.19,1324.2
ORD-1243,18-03-2023,23-03-2023,CUST-125,PROD-21,14115,8,0.2,705.75
ORD-1244,20-12-2024,24-12-2024,CUST-155,PROD-6,28544,5,0.08,1998.08
ORD-1245,14-09-2024,16-09-2024,CUST-133,PROD-49,11732,5,0.24,1055.88
ORD-1246,06-04-2024,09-04-2024,CUST-34,PROD-16,45841,1,0.29,6417.74
ORD-1247,04-07-2022,09-07-2022,CUST-41,PROD-15,41276,10,0.18,1238.28
ORD-1248,21-04-2024,26-04-2024,CUST-166,PROD-6,34976,8,0.3,5246.4
ORD-1249,28-04-2023,02-05-2023,CUST-66,PROD-11,26509,9,0.09,1590.54
ORD-1250,15-06-2022,18-06-2022,CUST-35,PROD-8,3628,4,0.02,471.64
ORD-1251,04-01-2024,07-01-2024,CUST-196,PROD-15,40052,6,0.06,3604.68
ORD-1252,10-05-2024,14-05-2024,CUST-120,PROD-3,21683,3,0.13,433.66
ORD-1253,26-06-2024,28-06-2024,CUST-45,PROD-20,29978,9,0.26,3297.58
ORD-1254,20-04-2022,22-04-2022,CUST-58,PROD-37,36535,10,0.2,1826.75
ORD-1255,29-08-2024,02-09-2024,CUST-137,PROD-45,4972,2,0.09,298.32
ORD-1256,27-03-2024,30-03-2024,CUST-100,PROD-34,33679,1,0.26,3704.69
ORD-1257,20-06-2023,22-06-2023,CUST-88,PROD-27,11714,2,0.03,1405.68
ORD-1258,19-06-2024,22-06-2024,CUST-35,PROD-8,37190,3,0.18,1115.7
ORD-1259,04-01-2023,09-01-2023,CUST-124,PROD-32,22574,2,0.03,2708.88
ORD-1260,10-03-2023,15-03-2023,CUST-200,PROD-38,24801,10,0.21,1488.06
ORD-1261,06-05-2023,09-05-2023,CUST-105,PROD-1,21429,3,0.21,1285.74
ORD-1262,15-06-2024,17-06-2024,CUST-169,PROD-49,21403,8,0.12,642.09
ORD-1263,01-01-2022,04-01-2022,CUST-68,PROD-33,2305,4,0.01,322.7
ORD-1264,26-05-2024,29-05-2024,CUST-197,PROD-10,45976,9,0.2,2298.8
ORD-1265,14-03-2024,16-03-2024,CUST-141,PROD-34,620,1,0.09,-37.2
ORD-1266,10-11-2024,15-11-2024,CUST-48,PROD-42,2755,3,0.17,-55.1
ORD-1267,11-07-2022,15-07-2022,CUST-30,PROD-40,5639,3,0.1,281.95
ORD-1268,19-05-2022,22-05-2022,CUST-119,PROD-9,44649,7,0.3,6697.35
ORD-1269,24-04-2023,29-04-2023,CUST-187,PROD-35,31722,1,0,4758.3
ORD-1270,22-03-2023,26-03-2023,CUST-122,PROD-9,15712,2,0.03,1885.44
ORD-1271,17-10-2023,22-10-2023,CUST-86,PROD-19,43762,5,0.21,2625.72
ORD-1272,31-07-2023,02-08-2023,CUST-20,PROD-42,24937,10,0.12,748.11
ORD-1273,24-05-2022,29-05-2022,CUST-50,PROD-29,48812,3,0.21,2928.72
ORD-1274,02-02-2024,04-02-2024,CUST-70,PROD-26,35609,8,0.13,712.18
ORD-1275,12-11-2023,17-11-2023,CUST-142,PROD-15,43199,7,0.03,5183.88
ORD-1276,10-05-2022,13-05-2022,CUST-100,PROD-5,27913,8,0.27,3349.56
ORD-1277,14-11-2023,19-11-2023,CUST-141,PROD-29,39233,7,0.05,3923.3
ORD-1278,17-02-2023,22-02-2023,CUST-67,PROD-40,19727,9,0.23,1578.16
ORD-1279,13-03-2024,18-03-2024,CUST-184,PROD-3,11131,1,0.06,1001.79
ORD-1280,20-03-2024,25-03-2024,CUST-177,PROD-43,9230,9,0.12,276.9
ORD-1281,26-10-2024,31-10-2024,CUST-32,PROD-17,2190,9,0.08,-153.3
ORD-1282,22-07-2022,25-07-2022,CUST-158,PROD-13,8359,1,0.02,1086.67
ORD-1283,21-08-2023,26-08-2023,CUST-187,PROD-36,41322,6,0.29,5785.08
ORD-1284,24-08-2023,27-08-2023,CUST-154,PROD-48,25721,2,0.26,2829.31
ORD-1285,11-03-2024,15-03-2024,CUST-69,PROD-18,14273,6,0.24,1284.57
ORD-1286,13-06-2024,17-06-2024,CUST-28,PROD-4,37319,7,0.14,373.19
ORD-1287,30-10-2024,04-11-2024,CUST-160,PROD-11,21753,8,0.21,1305.18
ORD-1288,14-02-2023,18-02-2023,CUST-174,PROD-34,3412,8,0.01,477.68
ORD-1289,16-10-2022,19-10-2022,CUST-100,PROD-3,25264,3,0.08,1768.48
ORD-1290,08-10-2023,12-10-2023,CUST-184,PROD-8,9818,4,0.02,1276.34
ORD-1291,07-06-2023,09-06-2023,CUST-65,PROD-8,24701,2,0.18,741.03
ORD-1292,05-07-2024,09-07-2024,CUST-34,PROD-17,8117,9,0.11,324.68
ORD-1293,27-01-2024,30-01-2024,CUST-3,PROD-25,18394,3,0.15,0
ORD-1294,15-09-2022,18-09-2022,CUST-84,PROD-33,6778,2,0.27,813.36
ORD-1295,01-10-2024,05-10-2024,CUST-1,PROD-39,48218,10,0.07,3857.44
ORD-1296,17-06-2022,22-06-2022,CUST-107,PROD-47,22047,10,0.08,1543.29
ORD-1297,11-07-2024,14-07-2024,CUST-13,PROD-39,24089,6,0.15,0
ORD-1298,24-06-2024,28-06-2024,CUST-97,PROD-13,8889,6,0.25,888.9
ORD-1299,30-08-2023,04-09-2023,CUST-75,PROD-34,6226,4,0.08,435.82
