Return_ID,Order_ID,Return_Status
RET-97,ORD-1527,Returned
RET-98,ORD-2501,Returned
RET-99,ORD-2835,Returned
RET-100,ORD-2085,Returned
RET-101,ORD-2381,Returned
RET-102,ORD-1651,Returned
RET-103,ORD-2038,Returned
RET-104,ORD-1791,Returned
RET-105,ORD-1232,Returned
RET-106,ORD-1595,Returned
RET-107,ORD-2004,Returned
RET-108,ORD-2078,Returned
RET-109,ORD-1515,Returned
RET-110,ORD-1702,Returned
RET-111,ORD-1888,Returned
RET-112,ORD-1915,Returned
RET-113,ORD-1325,Returned
RET-114,ORD-2153,Returned
RET-115,ORD-2462,Returned
RET-116,ORD-2776,Returned
RET-117,ORD-1471,Returned
RET-118,ORD-1347,Returned
RET-119,ORD-2556,Returned
RET-120,ORD-1127,Returned
RET-121,ORD-1434,Returned
RET-122,ORD-1696,Returned
RET-123,ORD-2004,Returned
RET-124,ORD-1713,Returned
RET-125,ORD-1047,Returned
RET-126,ORD-2674,Returned
RET-127,ORD-1627,Returned
RET-128,ORD-2379,Returned
RET-129,ORD-2550,Returned
RET-130,ORD-1569,Returned
RET-131,ORD-2812,Returned
RET-132,ORD-2394,Returned
RET-133,ORD-2228,Returned
RET-134,ORD-2378,Returned
RET-135,ORD-1365,Returned
RET-136,ORD-2623,Returned
RET-137,ORD-1362,Returned
RET-138,ORD-2166,Returned
RET-139,ORD-2481,Returned
RET-140,ORD-1040,Returned
RET-141,ORD-1733,Returned
RET-142,ORD-2276,Returned
RET-143,ORD-1776,Returned
RET-144,ORD-1585,Returned
RET-145,ORD-2915,Returned
RET-146,ORD-2246,Returned
RET-147,ORD-2936,Returned
RET-148,ORD-1533,Returned
RET-149,ORD-2111,Returned
RET-150,ORD-2458,Returned
RET-151,ORD-2692,Returned
RET-152,ORD-2318,Returned
RET-153,ORD-1369,Returned
RET-154,ORD-2755,Returned
RET-155,ORD-2994,Returned
RET-156,ORD-1812,Returned
RET-157,ORD-1993,Returned
RET-158,ORD-1433,Returned
RET-159,ORD-2858,Returned
RET-160,ORD-1689,Returned
RET-161,ORD-2481,Returned
RET-162,ORD-1306,Returned
RET-163,ORD-1507,Returned
RET-164,ORD-2996,Returned
RET-165,ORD-2244,Returned
RET-166,ORD-1772,Returned
RET-167,ORD-1269,Returned
RET-168,ORD-1937,Returned
RET-169,ORD-1325,Returned
RET-170,ORD-2905,Returned
RET-171,ORD-2502,Returned
RET-172,ORD-1764,Returned
RET-173,ORD-1024,Returned
RET-174,ORD-2726,Returned
RET-175,ORD-2383,Returned
RET-176,ORD-1127,Returned
RET-177,ORD-1964,Returned
RET-178,ORD-1585,Returned
RET-179,ORD-1118,Returned
RET-180,ORD-1793,Returned
RET-181,ORD-1893,Returned
RET-182,ORD-2521,Returned
RET-183,ORD-1770,Returned
RET-184,ORD-2682,Returned
RET-185,ORD-1755,Returned
RET-186,ORD-2199,Returned
RET-187,ORD-1254,Returned
RET-188,ORD-2440,Returned
RET-189,ORD-2582,Returned
RET-190,ORD-1522,Returned
RET-191,ORD-2357,Returned
RET-192,ORD-1980,Returned
RET-193,ORD-1668,Returned
RET-194,ORD-2771,Returned
RET-195,ORD-2012,Returned
RET-196,ORD-2579,Returned
RET-197,ORD-1022,Returned
RET-198,ORD-1557,Returned
RET-199,ORD-1952,Returned
RET-200,ORD-2692,Returned
