Ship_ID,Order_ID,Ship_Mode,Shipping_Cost
SHIP-115,ORD-1115,Express,275
SHIP-116,ORD-1116,Standard,127
SHIP-117,ORD-1117,Express,326
SHIP-118,ORD-1118,Standard,437
SHIP-119,ORD-1119,Standard,193
SHIP-120,ORD-1120,Express,53
SHIP-121,ORD-1121,Standard,461
SHIP-122,ORD-1122,Standard,258
SHIP-123,ORD-1123,Express,369
SHIP-124,ORD-1124,Express,466
SHIP-125,ORD-1125,Express,307
SHIP-126,ORD-1126,Standard,135
SHIP-127,ORD-1127,Express,348
SHIP-128,ORD-1128,Express,197
SHIP-129,ORD-1129,Standard,457
SHIP-130,ORD-1130,Standard,353
SHIP-131,ORD-1131,Standard,332
SHIP-132,ORD-1132,Standard,306
SHIP-133,ORD-1133,Standard,159
SHIP-134,ORD-1134,Express,241
SHIP-135,ORD-1135,Standard,382
SHIP-136,ORD-1136,Express,428
SHIP-137,ORD-1137,Express,446
SHIP-138,ORD-1138,Express,427
SHIP-139,ORD-1139,Express,277
SHIP-140,ORD-1140,Express,304
SHIP-141,ORD-1141,Express,97
SHIP-142,ORD-1142,Standard,402
SHIP-143,ORD-1143,Express,469
SHIP-144,ORD-1144,Standard,316
SHIP-145,ORD-1145,Express,420
SHIP-146,ORD-1146,Standard,215
SHIP-147,ORD-1147,Standard,63
SHIP-148,ORD-1148,Standard,355
SHIP-149,ORD-1149,Standard,455
SHIP-150,ORD-1150,Express,437
SHIP-151,ORD-1151,Standard,411
SHIP-152,ORD-1152,Express,493
SHIP-153,ORD-1153,Express,246
SHIP-154,ORD-1154,Express,494
SHIP-155,ORD-1155,Standard,75
SHIP-156,ORD-1156,Standard,81
SHIP-157,ORD-1157,Express,490
SHIP-158,ORD-1158,Standard,317
SHIP-159,ORD-1159,Standard,355
SHIP-160,ORD-1160,Standard,132
SHIP-161,ORD-1161,Express,484
SHIP-162,ORD-1162,Standard,191
SHIP-163,ORD-1163,Express,315
SHIP-164,ORD-1164,Express,204
SHIP-165,ORD-1165,Standard,273
SHIP-166,ORD-1166,Express,450
SHIP-167,ORD-1167,Express,245
SHIP-168,ORD-1168,Standard,98
SHIP-169,ORD-1169,Standard,255
SHIP-170,ORD-1170,Standard,295
SHIP-171,ORD-1171,Standard,474
SHIP-172,ORD-1172,Standard,459
SHIP-173,ORD-1173,Standard,461
SHIP-174,ORD-1174,Express,59
SHIP-175,ORD-1175,Express,268
SHIP-176,ORD-1176,Standard,145
SHIP-177,ORD-1177,Express,364
SHIP-178,ORD-1178,Standard,352
SHIP-179,ORD-1179,Express,124
SHIP-180,ORD-1180,Express,157
SHIP-181,ORD-1181,Express,190
SHIP-182,ORD-1182,Express,174
SHIP-183,ORD-1183,Standard,149
SHIP-184,ORD-1184,Express,147
SHIP-185,ORD-1185,Standard,126
SHIP-186,ORD-1186,Standard,255
SHIP-187,ORD-1187,Express,141
SHIP-188,ORD-1188,Express,115
SHIP-189,ORD-1189,Express,458
SHIP-190,ORD-1190,Express,221
SHIP-191,ORD-1191,Express,429
SHIP-192,ORD-1192,Standard,463
SHIP-193,ORD-1193,Standard,300
SHIP-194,ORD-1194,Express,308
SHIP-195,ORD-1195,Express,132
SHIP-196,ORD-1196,Standard,93
SHIP-197,ORD-1197,Express,336
SHIP-198,ORD-1198,Express,223
SHIP-199,ORD-1199,Express,302
SHIP-200,ORD-1200,Standard,180
SHIP-201,ORD-1201,Standard,135
SHIP-202,ORD-1202,Express,217
SHIP-203,ORD-1203,Express,442
SHIP-204,ORD-1204,Express,470
SHIP-205,ORD-1205,Express,51
SHIP-206,ORD-1206,Standard,229
SHIP-207,ORD-1207,Standard,86
SHIP-208,ORD-1208,Express,370
SHIP-209,ORD-1209,Express,331
SHIP-210,ORD-1210,Express,398
SHIP-211,ORD-1211,Express,279
SHIP-212,ORD-1212,Standard,147
SHIP-213,ORD-1213,Express,263
SHIP-214,ORD-1214,Standard,317
SHIP-215,ORD-1215,Express,460
SHIP-216,ORD-1216,Standard,294
SHIP-217,ORD-1217,Express,441
SHIP-218,ORD-1218,Standard,480
SHIP-219,ORD-1219,Express,457
SHIP-220,ORD-1220,Standard,209
SHIP-221,ORD-1221,Express,167
SHIP-222,ORD-1222,Standard,229
SHIP-223,ORD-1223,Express,216
SHIP-224,ORD-1224,Standard,487
SHIP-225,ORD-1225,Standard,311
SHIP-226,ORD-1226,Express,102
SHIP-227,ORD-1227,Standard,164
SHIP-228,ORD-1228,Express,242
SHIP-229,ORD-1229,Express,468
SHIP-230,ORD-1230,Express,392
SHIP-231,ORD-1231,Standard,388
SHIP-232,ORD-1232,Express,400
SHIP-233,ORD-1233,Standard,405
SHIP-234,ORD-1234,Express,489
SHIP-235,ORD-1235,Express,214
SHIP-236,ORD-1236,Express,356
SHIP-237,ORD-1237,Express,229
SHIP-238,ORD-1238,Standard,239
SHIP-239,ORD-1239,Standard,119
SHIP-240,ORD-1240,Standard,216
SHIP-241,ORD-1241,Standard,258
SHIP-242,ORD-1242,Standard,170
SHIP-243,ORD-1243,Express,112
SHIP-244,ORD-1244,Standard,62
SHIP-245,ORD-1245,Express,110
SHIP-246,ORD-1246,Express,319
SHIP-247,ORD-1247,Standard,181
SHIP-248,ORD-1248,Express,356
SHIP-249,ORD-1249,Express,244
SHIP-250,ORD-1250,Express,161
SHIP-251,ORD-1251,Express,116
SHIP-252,ORD-1252,Standard,398
SHIP-253,ORD-1253,Standard,260
SHIP-254,ORD-1254,Standard,170
SHIP-255,ORD-1255,Express,409
SHIP-256,ORD-1256,Standard,264
SHIP-257,ORD-1257,Standard,119
SHIP-258,ORD-1258,Express,457
SHIP-259,ORD-1259,Express,178
SHIP-260,ORD-1260,Express,320
SHIP-261,ORD-1261,Standard,101
SHIP-262,ORD-1262,Express,474
SHIP-263,ORD-1263,Standard,147
SHIP-264,ORD-1264,Express,178
SHIP-265,ORD-1265,Standard,352
SHIP-266,ORD-1266,Standard,282
SHIP-267,ORD-1267,Express,392
SHIP-268,ORD-1268,Standard,157
SHIP-269,ORD-1269,Express,486
SHIP-270,ORD-1270,Express,184
SHIP-271,ORD-1271,Standard,246
SHIP-272,ORD-1272,Express,293
SHIP-273,ORD-1273,Standard,254
SHIP-274,ORD-1274,Express,492
SHIP-275,ORD-1275,Standard,169
SHIP-276,ORD-1276,Express,90
SHIP-277,ORD-1277,Standard,325
SHIP-278,ORD-1278,Standard,377
SHIP-279,ORD-1279,Express,177
SHIP-280,ORD-1280,Standard,171
SHIP-281,ORD-1281,Express,71
SHIP-282,ORD-1282,Express,360
SHIP-283,ORD-1283,Express,205
SHIP-284,ORD-1284,Standard,216
SHIP-285,ORD-1285,Standard,116
SHIP-286,ORD-1286,Standard,186
SHIP-287,ORD-1287,Standard,234
SHIP-288,ORD-1288,Standard,351
SHIP-289,ORD-1289,Express,115
SHIP-290,ORD-1290,Express,446
SHIP-291,ORD-1291,Express,255
SHIP-292,ORD-1292,Express,354
SHIP-293,ORD-1293,Express,137
SHIP-294,ORD-1294,Standard,197
SHIP-295,ORD-1295,Express,489
SHIP-296,ORD-1296,Standard,365
SHIP-297,ORD-1297,Express,260
SHIP-298,ORD-1298,Standard,357
SHIP-299,ORD-1299,Express,140
SHIP-300,ORD-1300,Express,110
SHIP-301,ORD-1301,Express,312
SHIP-302,ORD-1302,Standard,351
SHIP-303,ORD-1303,Standard,498
SHIP-304,ORD-1304,Express,426
SHIP-305,ORD-1305,Express,147
SHIP-306,ORD-1306,Standard,271
SHIP-307,ORD-1307,Standard,260
SHIP-308,ORD-1308,Express,170
SHIP-309,ORD-1309,Standard,115
SHIP-310,ORD-1310,Standard,151
SHIP-311,ORD-1311,Standard,330
SHIP-312,ORD-1312,Standard,281
SHIP-313,ORD-1313,Express,172
SHIP-314,ORD-1314,Standard,167
SHIP-315,ORD-1315,Express,381
SHIP-316,ORD-1316,Express,498
SHIP-317,ORD-1317,Express,248
SHIP-318,ORD-1318,Express,126
SHIP-319,ORD-1319,Express,65
SHIP-320,ORD-1320,Express,379
SHIP-321,ORD-1321,Standard,326
SHIP-322,ORD-1322,Express,109
SHIP-323,ORD-1323,Express,299
SHIP-324,ORD-1324,Standard,72
SHIP-325,ORD-1325,Express,267
SHIP-326,ORD-1326,Express,196
SHIP-327,ORD-1327,Standard,175
SHIP-328,ORD-1328,Express,114
SHIP-329,ORD-1329,Standard,132
SHIP-330,ORD-1330,Standard,184
SHIP-331,ORD-1331,Express,356
SHIP-332,ORD-1332,Express,183
SHIP-333,ORD-1333,Express,72
SHIP-334,ORD-1334,Standard,271
SHIP-335,ORD-1335,Express,410
SHIP-336,ORD-1336,Express,305
SHIP-337,ORD-1337,Standard,463
SHIP-338,ORD-1338,Standard,498
SHIP-339,ORD-1339,Express,477
SHIP-340,ORD-1340,Express,68
SHIP-341,ORD-1341,Standard,232
SHIP-342,ORD-1342,Standard,469
SHIP-343,ORD-1343,Standard,252
SHIP-344,ORD-1344,Express,125
SHIP-345,ORD-1345,Express,304
SHIP-346,ORD-1346,Express,482
SHIP-347,ORD-1347,Standard,108
SHIP-348,ORD-1348,Standard,139
SHIP-349,ORD-1349,Standard,305
SHIP-350,ORD-1350,Express,176
SHIP-351,ORD-1351,Standard,210
SHIP-352,ORD-1352,Standard,266
SHIP-353,ORD-1353,Express,193
SHIP-354,ORD-1354,Standard,256
SHIP-355,ORD-1355,Express,316
SHIP-356,ORD-1356,Standard,414
SHIP-357,ORD-1357,Express,453
SHIP-358,ORD-1358,Express,444
SHIP-359,ORD-1359,Standard,302
SHIP-360,ORD-1360,Express,427
SHIP-361,ORD-1361,Express,458
SHIP-362,ORD-1362,Express,108
SHIP-363,ORD-1363,Standard,455
SHIP-364,ORD-1364,Express,225
SHIP-365,ORD-1365,Standard,278
SHIP-366,ORD-1366,Express,89
SHIP-367,ORD-1367,Standard,181
SHIP-368,ORD-1368,Express,236
SHIP-369,ORD-1369,Express,106
SHIP-370,ORD-1370,Standard,383
SHIP-371,ORD-1371,Express,185
SHIP-372,ORD-1372,Standard,59
SHIP-373,ORD-1373,Express,238
SHIP-374,ORD-1374,Express,466
SHIP-375,ORD-1375,Express,351
SHIP-376,ORD-1376,Standard,171
SHIP-377,ORD-1377,Standard,137
SHIP-378,ORD-1378,Standard,86
SHIP-379,ORD-1379,Standard,407
SHIP-380,ORD-1380,Standard,490
SHIP-381,ORD-1381,Express,123
SHIP-382,ORD-1382,Express,451
SHIP-383,ORD-1383,Express,358
SHIP-384,ORD-1384,Express,351
SHIP-385,ORD-1385,Standard,389
SHIP-386,ORD-1386,Express,103
SHIP-387,ORD-1387,Standard,484
SHIP-388,ORD-1388,Standard,73
SHIP-389,ORD-1389,Standard,101
SHIP-390,ORD-1390,Express,315
SHIP-391,ORD-1391,Standard,90
SHIP-392,ORD-1392,Express,189
SHIP-393,ORD-1393,Express,335
SHIP-394,ORD-1394,Express,98
SHIP-395,ORD-1395,Express,487
SHIP-396,ORD-1396,Standard,335
SHIP-397,ORD-1397,Standard,332
SHIP-398,ORD-1398,Standard,421
SHIP-399,ORD-1399,Express,292
SHIP-400,ORD-1400,Standard,491
SHIP-401,ORD-1401,Standard,306
SHIP-402,ORD-1402,Standard,203
SHIP-403,ORD-1403,Express,458
SHIP-404,ORD-1404,Standard,270
SHIP-405,ORD-1405,Standard,163
SHIP-406,ORD-1406,Express,87
SHIP-407,ORD-1407,Standard,381
SHIP-408,ORD-1408,Express,433
SHIP-409,ORD-1409,Standard,473
SHIP-410,ORD-1410,Standard,481
SHIP-411,ORD-1411,Standard,170
SHIP-412,ORD-1412,Standard,311
SHIP-413,ORD-1413,Standard,113
SHIP-414,ORD-1414,Express,296
SHIP-415,ORD-1415,Express,474
SHIP-416,ORD-1416,Standard,284
SHIP-417,ORD-1417,Standard,233
SHIP-418,ORD-1418,Standard,422
SHIP-419,ORD-1419,Standard,208
SHIP-420,ORD-1420,Express,338
SHIP-421,ORD-1421,Standard,336
SHIP-422,ORD-1422,Standard,81
SHIP-423,ORD-1423,Express,443
SHIP-424,ORD-1424,Express,240
SHIP-425,ORD-1425,Express,229
SHIP-426,ORD-1426,Express,205
SHIP-427,ORD-1427,Standard,499
SHIP-428,ORD-1428,Standard,452
SHIP-429,ORD-1429,Express,355
SHIP-430,ORD-1430,Standard,178
SHIP-431,ORD-1431,Standard,132
SHIP-432,ORD-1432,Standard,425
SHIP-433,ORD-1433,Standard,182
SHIP-434,ORD-1434,Express,268
SHIP-435,ORD-1435,Standard,268
SHIP-436,ORD-1436,Express,365
SHIP-437,ORD-1437,Express,134
SHIP-438,ORD-1438,Standard,441
SHIP-439,ORD-1439,Standard,295
SHIP-440,ORD-1440,Standard,276
SHIP-441,ORD-1441,Standard,144
SHIP-442,ORD-1442,Express,55
SHIP-443,ORD-1443,Standard,140
SHIP-444,ORD-1444,Express,348
SHIP-445,ORD-1445,Express,352
SHIP-446,ORD-1446,Express,406
SHIP-447,ORD-1447,Standard,264
SHIP-448,ORD-1448,Standard,373
SHIP-449,ORD-1449,Express,415
SHIP-450,ORD-1450,Express,264
SHIP-451,ORD-1451,Express,275
SHIP-452,ORD-1452,Standard,215
SHIP-453,ORD-1453,Standard,202
SHIP-454,ORD-1454,Express,142
SHIP-455,ORD-1455,Express,60
SHIP-456,ORD-1456,Express,292
SHIP-457,ORD-1457,Standard,348
SHIP-458,ORD-1458,Express,102
SHIP-459,ORD-1459,Express,198
SHIP-460,ORD-1460,Express,329
SHIP-461,ORD-1461,Standard,215
SHIP-462,ORD-1462,Express,359
SHIP-463,ORD-1463,Express,76
SHIP-464,ORD-1464,Standard,403
SHIP-465,ORD-1465,Express,321
SHIP-466,ORD-1466,Express,154
SHIP-467,ORD-1467,Express,384
SHIP-468,ORD-1468,Standard,396
SHIP-469,ORD-1469,Standard,243
SHIP-470,ORD-1470,Standard,74
SHIP-471,ORD-1471,Express,50
SHIP-472,ORD-1472,Standard,460
SHIP-473,ORD-1473,Express,199
SHIP-474,ORD-1474,Express,52
SHIP-475,ORD-1475,Standard,83
SHIP-476,ORD-1476,Express,350
SHIP-477,ORD-1477,Standard,95
SHIP-478,ORD-1478,Express,158
SHIP-479,ORD-1479,Express,493
SHIP-480,ORD-1480,Express,346
SHIP-481,ORD-1481,Express,283
SHIP-482,ORD-1482,Standard,258
SHIP-483,ORD-1483,Standard,196
SHIP-484,ORD-1484,Standard,105
SHIP-485,ORD-1485,Express,170
SHIP-486,ORD-1486,Standard,308
SHIP-487,ORD-1487,Express,453
SHIP-488,ORD-1488,Standard,264
SHIP-489,ORD-1489,Express,269
SHIP-490,ORD-1490,Standard,288
SHIP-491,ORD-1491,Express,308
SHIP-492,ORD-1492,Standard,198
SHIP-493,ORD-1493,Express,96
SHIP-494,ORD-1494,Standard,316
SHIP-495,ORD-1495,Standard,257
SHIP-496,ORD-1496,Standard,254
SHIP-497,ORD-1497,Standard,262
SHIP-498,ORD-1498,Express,427
SHIP-499,ORD-1499,Standard,232
SHIP-500,ORD-1500,Express,397
SHIP-501,ORD-1501,Standard,286
SHIP-502,ORD-1502,Standard,331
SHIP-503,ORD-1503,Standard,383
SHIP-504,ORD-1504,Standard,383
SHIP-505,ORD-1505,Express,363
SHIP-506,ORD-1506,Express,160
SHIP-507,ORD-1507,Express,494
SHIP-508,ORD-1508,Standard,139
SHIP-509,ORD-1509,Express,499
SHIP-510,ORD-1510,Express,57
SHIP-511,ORD-1511,Standard,255
SHIP-512,ORD-1512,Express,340
SHIP-513,ORD-1513,Express,471
SHIP-514,ORD-1514,Standard,397
SHIP-515,ORD-1515,Express,216
SHIP-516,ORD-1516,Standard,301
SHIP-517,ORD-1517,Standard,393
SHIP-518,ORD-1518,Express,119
SHIP-519,ORD-1519,Standard,135
SHIP-520,ORD-1520,Standard,250
SHIP-521,ORD-1521,Express,439
SHIP-522,ORD-1522,Standard,222
SHIP-523,ORD-1523,Express,161
SHIP-524,ORD-1524,Standard,223
SHIP-525,ORD-1525,Standard,208
SHIP-526,ORD-1526,Standard,388
SHIP-527,ORD-1527,Standard,413
SHIP-528,ORD-1528,Standard,395
SHIP-529,ORD-1529,Standard,316
SHIP-530,ORD-1530,Standard,195
SHIP-531,ORD-1531,Express,231
SHIP-532,ORD-1532,Express,446
SHIP-533,ORD-1533,Express,187
SHIP-534,ORD-1534,Express,136
SHIP-535,ORD-1535,Express,257
SHIP-536,ORD-1536,Standard,428
SHIP-537,ORD-1537,Standard,103
SHIP-538,ORD-1538,Standard,75
SHIP-539,ORD-1539,Standard,436
SHIP-540,ORD-1540,Standard,364
SHIP-541,ORD-1541,Standard,382
SHIP-542,ORD-1542,Express,277
SHIP-543,ORD-1543,Express,142
SHIP-544,ORD-1544,Standard,237
SHIP-545,ORD-1545,Express,244
SHIP-546,ORD-1546,Standard,323
SHIP-547,ORD-1547,Standard,141
SHIP-548,ORD-1548,Standard,498
SHIP-549,ORD-1549,Express,397
SHIP-550,ORD-1550,Standard,74
SHIP-551,ORD-1551,Express,164
SHIP-552,ORD-1552,Standard,233
SHIP-553,ORD-1553,Standard,131
SHIP-554,ORD-1554,Express,213
SHIP-555,ORD-1555,Express,339
SHIP-556,ORD-1556,Express,153
SHIP-557,ORD-1557,Standard,116
SHIP-558,ORD-1558,Standard,276
SHIP-559,ORD-1559,Standard,421
SHIP-560,ORD-1560,Standard,369
SHIP-561,ORD-1561,Express,119
SHIP-562,ORD-1562,Standard,292
SHIP-563,ORD-1563,Standard,54
SHIP-564,ORD-1564,Standard,146
SHIP-565,ORD-1565,Express,84
SHIP-566,ORD-1566,Standard,483
SHIP-567,ORD-1567,Standard,477
SHIP-568,ORD-1568,Standard,105
SHIP-569,ORD-1569,Express,92
SHIP-570,ORD-1570,Express,419
SHIP-571,ORD-1571,Express,376
SHIP-572,ORD-1572,Standard,263
SHIP-573,ORD-1573,Standard,428
SHIP-574,ORD-1574,Express,214
SHIP-575,ORD-1575,Express,364
SHIP-576,ORD-1576,Standard,422
SHIP-577,ORD-1577,Express,419
SHIP-578,ORD-1578,Express,172
SHIP-579,ORD-1579,Express,261
SHIP-580,ORD-1580,Express,311
SHIP-581,ORD-1581,Standard,233
SHIP-582,ORD-1582,Standard,76
SHIP-583,ORD-1583,Express,156
SHIP-584,ORD-1584,Express,278
SHIP-585,ORD-1585,Standard,330
SHIP-586,ORD-1586,Express,482
SHIP-587,ORD-1587,Express,464
SHIP-588,ORD-1588,Standard,125
SHIP-589,ORD-1589,Standard,438
SHIP-590,ORD-1590,Standard,468
SHIP-591,ORD-1591,Standard,185
SHIP-592,ORD-1592,Standard,81
SHIP-593,ORD-1593,Standard,167
SHIP-594,ORD-1594,Express,486
SHIP-595,ORD-1595,Standard,454
SHIP-596,ORD-1596,Standard,454
SHIP-597,ORD-1597,Express,359
SHIP-598,ORD-1598,Express,118
SHIP-599,ORD-1599,Express,354
SHIP-600,ORD-1600,Standard,236
SHIP-601,ORD-1601,Express,275
SHIP-602,ORD-1602,Express,160
SHIP-603,ORD-1603,Standard,458
SHIP-604,ORD-1604,Express,493
SHIP-605,ORD-1605,Express,323
SHIP-606,ORD-1606,Express,86
SHIP-607,ORD-1607,Express,258
SHIP-608,ORD-1608,Express,474
SHIP-609,ORD-1609,Express,361
SHIP-610,ORD-1610,Express,346
SHIP-611,ORD-1611,Standard,419
SHIP-612,ORD-1612,Standard,168
SHIP-613,ORD-1613,Express,173
SHIP-614,ORD-1614,Express,494
SHIP-615,ORD-1615,Standard,273
SHIP-616,ORD-1616,Standard,497
SHIP-617,ORD-1617,Express,256
SHIP-618,ORD-1618,Express,475
SHIP-619,ORD-1619,Express,374
SHIP-620,ORD-1620,Standard,106
SHIP-621,ORD-1621,Express,171
SHIP-622,ORD-1622,Express,89
SHIP-623,ORD-1623,Express,124
SHIP-624,ORD-1624,Standard,396
SHIP-625,ORD-1625,Express,246
SHIP-626,ORD-1626,Standard,131
SHIP-627,ORD-1627,Express,186
SHIP-628,ORD-1628,Standard,240
SHIP-629,ORD-1629,Express,107
SHIP-630,ORD-1630,Express,427
SHIP-631,ORD-1631,Standard,211
SHIP-632,ORD-1632,Standard,120
SHIP-633,ORD-1633,Express,267
SHIP-634,ORD-1634,Standard,298
SHIP-635,ORD-1635,Express,285
SHIP-636,ORD-1636,Express,122
SHIP-637,ORD-1637,Standard,405
SHIP-638,ORD-1638,Express,149
SHIP-639,ORD-1639,Express,305
SHIP-640,ORD-1640,Standard,483
SHIP-641,ORD-1641,Express,202
SHIP-642,ORD-1642,Standard,407
SHIP-643,ORD-1643,Standard,216
SHIP-644,ORD-1644,Express,485
SHIP-645,ORD-1645,Express,242
SHIP-646,ORD-1646,Express,106
SHIP-647,ORD-1647,Express,130
SHIP-648,ORD-1648,Standard,364
SHIP-649,ORD-1649,Standard,178
SHIP-650,ORD-1650,Standard,251
SHIP-651,ORD-1651,Express,426
SHIP-652,ORD-1652,Standard,80
SHIP-653,ORD-1653,Express,245
SHIP-654,ORD-1654,Express,443
SHIP-655,ORD-1655,Standard,472
SHIP-656,ORD-1656,Standard,215
SHIP-657,ORD-1657,Standard,475
SHIP-658,ORD-1658,Standard,124
SHIP-659,ORD-1659,Express,258
SHIP-660,ORD-1660,Standard,468
SHIP-661,ORD-1661,Express,279
SHIP-662,ORD-1662,Standard,242
SHIP-663,ORD-1663,Standard,473
SHIP-664,ORD-1664,Standard,369
SHIP-665,ORD-1665,Express,421
SHIP-666,ORD-1666,Express,448
SHIP-667,ORD-1667,Standard,344
SHIP-668,ORD-1668,Express,338
SHIP-669,ORD-1669,Standard,309
SHIP-670,ORD-1670,Standard,318
SHIP-671,ORD-1671,Standard,267
SHIP-672,ORD-1672,Express,133
SHIP-673,ORD-1673,Express,167
SHIP-674,ORD-1674,Express,165
SHIP-675,ORD-1675,Standard,293
SHIP-676,ORD-1676,Express,109
SHIP-677,ORD-1677,Express,266
SHIP-678,ORD-1678,Express,210
SHIP-679,ORD-1679,Express,131
SHIP-680,ORD-1680,Standard,98
SHIP-681,ORD-1681,Standard,50
SHIP-682,ORD-1682,Standard,437
SHIP-683,ORD-1683,Standard,299
SHIP-684,ORD-1684,Standard,338
SHIP-685,ORD-1685,Standard,475
SHIP-686,ORD-1686,Express,190
SHIP-687,ORD-1687,Standard,282
SHIP-688,ORD-1688,Express,140
SHIP-689,ORD-1689,Standard,258
SHIP-690,ORD-1690,Express,455
SHIP-691,ORD-1691,Standard,294
SHIP-692,ORD-1692,Standard,364
SHIP-693,ORD-1693,Express,51
SHIP-694,ORD-1694,Express,206
SHIP-695,ORD-1695,Express,105
SHIP-696,ORD-1696,Express,410
SHIP-697,ORD-1697,Standard,427
SHIP-698,ORD-1698,Express,369
SHIP-699,ORD-1699,Express,118
SHIP-700,ORD-1700,Express,243
SHIP-701,ORD-1701,Express,120
SHIP-702,ORD-1702,Standard,411
SHIP-703,ORD-1703,Express,291
SHIP-704,ORD-1704,Standard,340
SHIP-705,ORD-1705,Express,452
SHIP-706,ORD-1706,Express,118
SHIP-707,ORD-1707,Express,242
SHIP-708,ORD-1708,Standard,238
SHIP-709,ORD-1709,Express,219
SHIP-710,ORD-1710,Standard,87
SHIP-711,ORD-1711,Standard,454
SHIP-712,ORD-1712,Standard,231
SHIP-713,ORD-1713,Express,483
SHIP-714,ORD-1714,Express,211
SHIP-715,ORD-1715,Express,132
